Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.11-131.253.33.239-51260-443-6,192.168.0.11,51260,131.253.33.239,443,6,16/04/2023 08:56:11 pm,21867849,10,9,2772.0,570.0,1440.0,0.0,277.2,462.29254806886087,278.0,0.0,63.333333333333336,104.88565202161828,152.82710247359034,0.8688554599037153,1214880.5,4691654.411931972,1.9998089E7,0.0,2.1716738E7,2412970.888888889,6657040.293467707,2.014809E7,7.0,2.1717848E7,2714731.0,7041617.506530544,2.012582E7,0.0,0,0,0,0,200,192,0.4572923473177449,0.4115631125859704,0.0,1440.0,167.15,344.6702886741717,118797.60789473685,0,0,0,9,19,0,0,0,0.0,175.94736842105263,277.2,63.333333333333336,0,0,0,0,10,2199,0,145,0,30,515,16382,6,20,0,0,0,0,1.6816677907102688E15,5065865.648313874,1.6816677928992E15,1.681667771231093E15,No Label
192.168.0.9-239.255.255.250-33134-1900-17,192.168.0.9,33134,239.255.255.250,1900,17,16/04/2023 08:56:44 pm,614871,8,0,2307.0,0.0,312.0,235.0,288.375,30.02826049859413,0,0,0,0,3752.006518440454,13.010859188350079,87838.71428571428,149154.1595002905,408435.0,541.0,614871.0,87838.71428571428,149154.1595002905,408435.0,541.0,0,0,0,0,0,0,0,0,0,64,0,13.010859188350079,0.0,235.0,312.0,283.6666666666667,31.440419844524975,988.4999999999998,0,0,0,0,0,0,0,0,0.0,319.125,288.375,0.0,0,0,0,0,8,3752,1,288,0,0,0,0,7,8,0,0,0,0,1.6816678045053918E15,214045.2237730859,1.681667804913504E15,1.681667804301754E15,No Label
192.168.0.11-185.199.109.133-51206-443-6,192.168.0.11,51206,185.199.109.133,443,6,16/04/2023 08:56:37 pm,151100,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.618133686300463,13.236267372600926,151100.0,0.0,151100.0,151100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,6.618133686300463,6.618133686300463,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,24837,292,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.9-224.0.0.251-5353-5353-17,192.168.0.9,5353,224.0.0.251,5353,17,16/04/2023 08:56:30 pm,1013008,8,0,3408.0,0.0,450.0,402.0,426.0,25.657079223592746,0,0,0,0,3364.2379921974953,7.897272282153745,144715.42857142858,380173.0916669656,1006865.0,2.0,1013008.0,144715.42857142858,380173.0916669656,1006865.0,2.0,0,0,0,0,0,0,0,0,0,64,0,7.897272282153745,0.0,402.0,450.0,428.6666666666667,25.298221281347033,639.9999999999999,0,0,0,0,0,0,0,0,0.0,482.25,426.0,0.0,0,0,0,0,4,554777,1,426,0,0,0,0,7,8,0,0,0,0,1.6816677905895375E15,552360.8796346757,1.68166779109483E15,1.681667790082879E15,No Label
192.168.0.11-239.255.255.250-54302-1900-17,192.168.0.11,54302,239.255.255.250,1900,17,16/04/2023 08:56:15 pm,3002175,4,0,700.0,0.0,175.0,175.0,175.0,0.0,0,0,0,0,233.1642892236462,1.332367366992264,1000725.0,443.55721164242163,1001207.0,1000334.0,3002175.0,1000725.0,443.55721164242163,1001207.0,1000334.0,0,0,0,0,0,0,0,0,0,32,0,1.332367366992264,0.0,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,218.75,175.0,0.0,0,0,0,0,0,0,1,175,0,0,0,0,3,8,0,0,0,0,1.6816677765147855E15,707748.1270370837,1.681667777015239E15,1.681667776014332E15,No Label
192.168.0.11-185.199.108.154-51509-443-6,192.168.0.11,51509,185.199.108.154,443,6,16/04/2023 08:56:31 pm,134481,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.871989351655625,134481.0,0.0,134481.0,134481.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7.435994675827812,7.435994675827812,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,290,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.11-2.18.61.16-52453-443-6,192.168.0.11,52453,2.18.61.16,443,6,16/04/2023 08:56:49 pm,76923,3,1,0.0,1460.0,0.0,0.0,0.0,0.0,1460.0,1460.0,1460.0,0.0,18980.01898001898,52.000052000051994,25641.0,44191.54448534244,76669.0,123.0,254.0,127.0,5.656854249492381,131.0,123.0,0,0,0,0,0,0,0,0,0,84,20,39.000039000038996,13.000013000012999,0.0,1460.0,292.0,652.9318494299386,426320.0,0,0,1,0,4,0,0,0,0.0,365.0,0.0,1460.0,0,0,0,0,0,0,0,0,0,365,513,501,0,20,0,0,0,0,1.6816678093921345E15,54218.826661040905,1.681667809430473E15,1.681667809353796E15,No Label
192.168.0.9-239.255.255.250-36849-1900-17,192.168.0.9,36849,239.255.255.250,1900,17,16/04/2023 08:56:35 pm,716170,9,0,2627.0,0.0,312.0,235.0,291.8888888888889,29.666666666666668,0,0,0,0,3668.123490232766,12.56684865325272,89521.25000000001,85057.25214020764,204989.0,488.0,716170.0,89521.25000000001,85057.25214020764,204989.0,488.0,0,0,0,0,0,0,0,0,0,72,0,12.56684865325272,0.0,235.0,312.0,286.2,33.25591008460835,1105.9555555555557,0,0,0,0,0,0,0,0,0.0,318.0,291.8888888888889,0.0,0,0,0,0,9,3668,1,291,0,0,0,0,8,8,0,0,0,0,1.6816677962115112E15,235955.59740743446,1.681667796619737E15,1.681667795905687E15,No Label
192.168.0.11-157.240.20.15-52421-443-6,192.168.0.11,52421,157.240.20.15,443,6,16/04/2023 08:56:28 pm,901936,12,8,606.0,379.0,230.0,0.0,50.5,70.47436671326933,150.0,0.0,47.375,59.341475498050386,1092.0952262688263,22.174522360788348,47470.31578947368,85812.31907550896,324631.0,3.0,901936.0,81994.18181818182,129406.81087393984,425989.0,72.0,726517.0,103788.14285714284,141393.2619097395,402019.0,3.0,0,0,0,0,252,184,13.30471341647301,8.86980894431534,0.0,230.0,46.9047619047619,63.890456847564295,4081.9904761904754,0,2,0,10,19,0,0,0,0.0,49.25,50.5,47.375,0,0,0,0,10,1358,0,30,0,18,65535,261,6,20,0,0,0,0,1.6816677890509528E15,233814.67990639305,1.681667789557966E15,1.681667788656537E15,No Label
35.174.127.31-192.168.0.11-443-52422-6,35.174.127.31,443,192.168.0.11,52422,6,16/04/2023 08:56:45 pm,50,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,50.0,0.0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,166,511,0,20,0,0,0,0,0,0,0,0,No Label
